uniprot_accession,standard_inchi_key,canonical_smiles,compound_name,protein_fragment,avg_predictions
Q6YMS6,QRGHOAATPOLDPF-BYICEURKSA-N,O=C(NO)c1cnc(N2CC3C(C2)C3NCc2ccc3cc(F)ccc3n2)nc1,Nanatinostat,NS5_DEN2B Dengue virus 2,4.327428758144379
Q6YMS6,HKGUHEGKBLYKHY-QMOZSOIISA-N,CSCCC(NC(=O)c1cc(NCC2CC(SC(=O)c3cccnc3)CN2)ccc1CCc1ccc(F)cc1)C(=O)OC(C)C,AZD-3409,NS5_DEN2B Dengue virus 2,4.325149118900299
Q6YMS6,DenvInD_219,C1=CC=C(C(=C1)COC2=CC=C(C=C2)C(C(=O)N)NC(=O)C(CCCCN)NC(=O)C(CCCN=C(N)N)NC(=O)C3=CC4=C(S3)C=CS4)C(F)(F)F,127040512,NS5_DEN2B Dengue virus 2,4.324495628476143
Q6YMS6,KTCJYACFOQWRDO-GOSISDBHSA-N,O=C1NCCCCC1N(Cc1ccc(Br)cc1)S(=O)(=O)c1ccc(Cl)cc1,ELN-318463,NS5_DEN2B Dengue virus 2,4.324262887239456
Q6YMS6,UWJUQVWARXYRCG-HIFRSBDPSA-N,CN(C)CC1CCCCC1(O)c1cccc(O)c1,O-Desmethyltramadol,NS5_DEN2B Dengue virus 2,4.319618582725525
Q6YMS6,AXTAPYRUEKNRBA-JTQLQIEISA-N,Cn1ncc(Cl)c1-c1cc(C(=O)NC(CN)Cc2ccc(F)c(F)c2)oc1Cl,Uprosertib,NS5_DEN2B Dengue virus 2,4.314921885728836
Q6YMS6,CDJNNOJINJAXPV-UHFFFAOYSA-N,Cc1cc(-c2nc(-c3ccc(OC(F)(F)F)cc3)no2)nn1Cc1ccnc(N2CCN(C3CC3)CC2)c1,BAY-87-2243,NS5_DEN2B Dengue virus 2,4.310775011777878
Q6YMS6,GQNZGCARKRHPOH-RQIKCTSVSA-N,CCC(=O)OC1CC(=O)OC(C)CC=CC=CC(OC(C)=O)C(C)CC(CC=O)C(OC2OC(C)C(OC3CC(C)(OC(C)=O)C(OC(=O)CC)C(C)O3)C(N(C)C)C2O)C1OC,Midecamycin acetate,NS5_DEN2B Dengue virus 2,4.310311943292618
Q6YMS6,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,Trametinib,NS5_DEN2B Dengue virus 2,4.310261249542236
Q6YMS6,XCPGHVQEEXUHNC-UHFFFAOYSA-N,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,Amsacrine,NS5_DEN2B Dengue virus 2,4.308262050151825
